"host_id","host_url","host_name","num_of_perfect_reviews"
427998831,"https://www.airbnb.com/users/show/427998831","Yigit",31
243832588,"https://www.airbnb.com/users/show/243832588","Mert",31
15257713,"https://www.airbnb.com/users/show/15257713","Zehra",31
85893416,"https://www.airbnb.com/users/show/85893416","Parvin",31
288762007,"https://www.airbnb.com/users/show/288762007","Ferhat",31
165765800,"https://www.airbnb.com/users/show/165765800","Sinan",31
27726017,"https://www.airbnb.com/users/show/27726017","Ismail",31
248233285,"https://www.airbnb.com/users/show/248233285","Baris",31
230154352,"https://www.airbnb.com/users/show/230154352","Ansen",31
383605761,"https://www.airbnb.com/users/show/383605761","Yusuf",31
4584311,"https://www.airbnb.com/users/show/4584311","Evren Emrah",30
1734426,"https://www.airbnb.com/users/show/1734426","Lino And Gioia",30
14537662,"https://www.airbnb.com/users/show/14537662","Tovi",30
28541953,"https://www.airbnb.com/users/show/28541953","Alper",30
412487704,"https://www.airbnb.com/users/show/412487704","BeeFlats",30
128656719,"https://www.airbnb.com/users/show/128656719","Deniz",30
139902931,"https://www.airbnb.com/users/show/139902931","Özgür",30
9088423,"https://www.airbnb.com/users/show/9088423","Giorgio",30
21587529,"https://www.airbnb.com/users/show/21587529","Özgür",30
19976561,"https://www.airbnb.com/users/show/19976561","Erol",30
26523486,"https://www.airbnb.com/users/show/26523486","Emre",30
222409733,"https://www.airbnb.com/users/show/222409733","Engin",29
47498991,"https://www.airbnb.com/users/show/47498991","Sertac",29
16347682,"https://www.airbnb.com/users/show/16347682","Behic",29
5829222,"https://www.airbnb.com/users/show/5829222","Muge",29
133474008,"https://www.airbnb.com/users/show/133474008","Betal",29
70217851,"https://www.airbnb.com/users/show/70217851","Adroniki",29
8687196,"https://www.airbnb.com/users/show/8687196","Ayten & Ercan",28
308220849,"https://www.airbnb.com/users/show/308220849","Cemil",28
14968383,"https://www.airbnb.com/users/show/14968383","Elif",28
96752845,"https://www.airbnb.com/users/show/96752845","Özgür",28
12153103,"https://www.airbnb.com/users/show/12153103","Lindsay",28
265400440,"https://www.airbnb.com/users/show/265400440","Bahattin",28
75161779,"https://www.airbnb.com/users/show/75161779","Omer",28
37143323,"https://www.airbnb.com/users/show/37143323","Burak",28
272396293,"https://www.airbnb.com/users/show/272396293","Oval",28
5823933,"https://www.airbnb.com/users/show/5823933","Nihat",28
852380,"https://www.airbnb.com/users/show/852380","Ilker",28
272932436,"https://www.airbnb.com/users/show/272932436","Han",28
272233032,"https://www.airbnb.com/users/show/272233032","Mahsa",28
34732438,"https://www.airbnb.com/users/show/34732438","Sev",28
973997,"https://www.airbnb.com/users/show/973997","Shinnosuke",27
49173695,"https://www.airbnb.com/users/show/49173695","Uygar",27
17113582,"https://www.airbnb.com/users/show/17113582","Rana&Cem",27
2642789,"https://www.airbnb.com/users/show/2642789","Mekhann",27
153296560,"https://www.airbnb.com/users/show/153296560","Tugce",27
46483500,"https://www.airbnb.com/users/show/46483500","Kerem Can",27
326391893,"https://www.airbnb.com/users/show/326391893","Yakup",27
25399144,"https://www.airbnb.com/users/show/25399144","Engin",27
16180402,"https://www.airbnb.com/users/show/16180402","Serdar",26
79258465,"https://www.airbnb.com/users/show/79258465","Rutkay",26
27683799,"https://www.airbnb.com/users/show/27683799","Melih",26
970283,"https://www.airbnb.com/users/show/970283","Suha",26
1869420,"https://www.airbnb.com/users/show/1869420","Asli-Ali",26
31204048,"https://www.airbnb.com/users/show/31204048","Ceyhan",26
205503131,"https://www.airbnb.com/users/show/205503131","Okan",26
423035567,"https://www.airbnb.com/users/show/423035567","Emre",26
23575950,"https://www.airbnb.com/users/show/23575950","Uğur Can",26
115347,"https://www.airbnb.com/users/show/115347","Yavuz Can",25
485384,"https://www.airbnb.com/users/show/485384","Alev",25
364777334,"https://www.airbnb.com/users/show/364777334","Josef",25
6754227,"https://www.airbnb.com/users/show/6754227","Enise",25
12846691,"https://www.airbnb.com/users/show/12846691","Gul",25
103713067,"https://www.airbnb.com/users/show/103713067","Recep Tunahan",25
418852396,"https://www.airbnb.com/users/show/418852396","Kardelen & Ezgi",25
43810816,"https://www.airbnb.com/users/show/43810816","Ezgi",25
31135209,"https://www.airbnb.com/users/show/31135209","Cagri",25
420971728,"https://www.airbnb.com/users/show/420971728","Johanna Carolina",25
116083659,"https://www.airbnb.com/users/show/116083659","Mehmet",25
51888008,"https://www.airbnb.com/users/show/51888008","Zeynel",25
228223282,"https://www.airbnb.com/users/show/228223282","Richy",25
11597638,"https://www.airbnb.com/users/show/11597638","Dilek",25
416827253,"https://www.airbnb.com/users/show/416827253","Porta",24
269576871,"https://www.airbnb.com/users/show/269576871","Şermin",24
269174334,"https://www.airbnb.com/users/show/269174334","Merve & Ahmet",24
304106249,"https://www.airbnb.com/users/show/304106249","Murat",24
291868950,"https://www.airbnb.com/users/show/291868950","Tahir",24
277104368,"https://www.airbnb.com/users/show/277104368","Parvin",24
33633665,"https://www.airbnb.com/users/show/33633665","Onur",24
44264335,"https://www.airbnb.com/users/show/44264335","Tarik",23
83214269,"https://www.airbnb.com/users/show/83214269","Mustafa",23
361767237,"https://www.airbnb.com/users/show/361767237","Taj Suites",23
