"host_id","host_url","host_name","num_of_dirty_reviews"
407659794,"https://www.airbnb.com/users/show/407659794","Büşra",2
216719223,"https://www.airbnb.com/users/show/216719223","Yakup",2
110769021,"https://www.airbnb.com/users/show/110769021","Cityloft",2
408806317,"https://www.airbnb.com/users/show/408806317","Buse",2
218263044,"https://www.airbnb.com/users/show/218263044","Eren",2
219525689,"https://www.airbnb.com/users/show/219525689","Timur",2
386279008,"https://www.airbnb.com/users/show/386279008","Denizhan",2
50800210,"https://www.airbnb.com/users/show/50800210","Hakan&Turkan",2
852380,"https://www.airbnb.com/users/show/852380","Ilker",2
187248999,"https://www.airbnb.com/users/show/187248999","Ck",2
467065365,"https://www.airbnb.com/users/show/467065365","Furkan",2
224599953,"https://www.airbnb.com/users/show/224599953","Ahmet",2
285840776,"https://www.airbnb.com/users/show/285840776","Doğukan",2
380710105,"https://www.airbnb.com/users/show/380710105","Onur",2
52115311,"https://www.airbnb.com/users/show/52115311","Sibel",2
245505066,"https://www.airbnb.com/users/show/245505066","Faruk",1
246156594,"https://www.airbnb.com/users/show/246156594","Ayse",1
246859199,"https://www.airbnb.com/users/show/246859199","Özkan",1
247073193,"https://www.airbnb.com/users/show/247073193","Morning",1
247364123,"https://www.airbnb.com/users/show/247364123","Şaban",1
249627551,"https://www.airbnb.com/users/show/249627551","Hilal",1
250269045,"https://www.airbnb.com/users/show/250269045","Sevda",1
251836435,"https://www.airbnb.com/users/show/251836435","Hassan Bin",1
251921854,"https://www.airbnb.com/users/show/251921854","Mohammad",1
252554623,"https://www.airbnb.com/users/show/252554623","Yunus",1
252989455,"https://www.airbnb.com/users/show/252989455","Veysel",1
255934674,"https://www.airbnb.com/users/show/255934674","Salih",1
256755619,"https://www.airbnb.com/users/show/256755619","Elif",1
257588913,"https://www.airbnb.com/users/show/257588913","Afranur",1
257786782,"https://www.airbnb.com/users/show/257786782","Suphi",1
258527937,"https://www.airbnb.com/users/show/258527937","Noor",1
259003882,"https://www.airbnb.com/users/show/259003882","Damla",1
259213089,"https://www.airbnb.com/users/show/259213089","Nasaruddin",1
